      Values at End of Element:
 Index  name    key                      s       l         s               L        gradient         voltage            phi0              rf
                                                                                                                                   frequency
   594  K23_5C  Lcavity            279.027   3.044 279.02739  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   595  K23_5D  Lcavity            282.071   3.044 282.07149  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   601  K23_6A1 Lcavity            282.567   0.328 282.56749  3.28000000E-01  1.59195187E+07  5.22160215E+06 -1.15000000E-01  2.85600000E+09
   603  K23_6A2 Lcavity            282.817   0.250 282.81749  2.50000000E-01  1.59195187E+07  3.97987969E+06 -1.15000000E-01  2.85600000E+09
   605  K23_6A3 Lcavity            285.284   2.466 285.28359  2.46610000E+00  1.59195187E+07  3.92591252E+07 -1.15000000E-01  2.85600000E+09
   606  K23_6B  Lcavity            288.328   3.044 288.32769  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   607  K23_6C  Lcavity            291.372   3.044 291.37179  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   608  K23_6D  Lcavity            294.416   3.044 294.41589  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   614  K23_7A1 Lcavity            294.917   0.334 294.91749  3.33600000E-01  1.59195187E+07  5.31075145E+06 -1.15000000E-01  2.85600000E+09
   616  K23_7A2 Lcavity            295.285   0.367 295.28459  3.67100000E-01  1.59195187E+07  5.84405533E+06 -1.15000000E-01  2.85600000E+09
   618  K23_7A3 Lcavity            297.628   2.343 297.62799  2.34340000E+00  1.59195187E+07  3.73058002E+07 -1.15000000E-01  2.85600000E+09
   619  K23_7B  Lcavity            300.672   3.044 300.67209  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   620  K23_7C  Lcavity            303.716   3.044 303.71619  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   621  K23_7D  Lcavity            306.760   3.044 306.76029  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
   627  K23_8A1 Lcavity            307.257   0.329 307.25749  3.29200000E-01  1.59195187E+07  5.24070557E+06 -1.15000000E-01  2.85600000E+09
   629  K23_8A2 Lcavity            307.664   0.406 307.66389  4.06400000E-01  1.59195187E+07  6.46969242E+06 -1.15000000E-01  2.85600000E+09
   631  K23_8A3 Lcavity            309.972   2.308 309.97239  2.30850000E+00  1.59195187E+07  3.67502090E+07 -1.15000000E-01  2.85600000E+09
   632  K23_8B  Lcavity            313.016   3.044 313.01649  3.04410000E+00  1.59195187E+07  4.84606070E+07 -1.15000000E-01  2.85600000E+09
